Title,Artist,Year,Genre,FavSong,URL,CoverFile,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Rage Against the Machine,Rage Against the Machine,1992,Alternative Metal,Killing in the Name,https://www.youtube.com/watch?v=bWXazVhlyxQ,cover_ratm_ratm.jpeg,US,USA,Truth to Power,,0,4,0,0,3,0,0,,FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME
Dummy,Portishead,1994,Trip Hop,Glory Box,https://www.youtube.com/watch?v=c417rIku6Iw,cover_portishead_dummy.jpeg,GB,United Kingdom,"Deep and Moving, World Is Cold and Lonely",,2,0,0,1,0,4,1,,
Heavy Metal,Cameron Winter,2024,Singer-Songwriter,$0.00,https://youtu.be/ETZKZzz7MWo?si=-VOGRFzsSmGPMdlH,cover_cameron_heavy.jpeg,US,USA,Tears Please Stop Flowing,,4,0,0,0,0,0,4,,
Esquemas juveniles,Javiera Mena,2005,Indie Pop,Cámara lenta,https://www.youtube.com/watch?v=vN1AlIBob-o,cover_javiera.jpeg,ES,Spain,Floating Into Bliss,,0,0,1,0,0,4,0,,
Still a Sigure Virgin? ,Ling Tosite Sigure,2010,Post-Hardcore,This Is Is This?,https://www.youtube.com/watch?v=ZIMRDuv57nQ,cover_ling_virgin.jpeg,JP,Japan,Scream Into the Void,,2,2,0,1,0,2,5,,
The Number of the Beast,Iron Maiden,1982,Heavy Metal,Run to the Hills,https://www.youtube.com/watch?v=86URGgqONvA,cover_iron_number.jpeg,GB,United Kingdom,Pure Awesome,,0,2,0,1,0,0,3,,
Caligula,Lingua Ignota,2019,Neoclassical Darkwave,DO YOU DOUBT ME TRAITOR,https://www.youtube.com/watch?v=8jma4fQfJGI,cover_lingua_caligula.jpeg,US,USA,"Gaze Into the Abyss, Scream Into the Void",,0,5,0,5,0,0,0,,
Ghosts of the Great Highway,Sun Kil Moon,2003,Slowcore,Duk Koo Kim,https://www.youtube.com/watch?v=8-RjqU3T2x4,cover_sunkilmoom_ghosts.jpeg,US,USA,"⚠️ Sketchy Artist, Tears Please Stop Flowing",,4,0,1,0,0,3,0,,
Heart Station,Hikaru Utada,2008,J-Pop,Beautiful World,https://www.youtube.com/watch?v=N2tSDKngeoY,cover_utada_heart.jpeg,JP,Japan,Deep and Moving,,2,0,0,0,0,3,3,,
Daß nichts bleibt wie es war ,Hannes Wader,1982,Liedermacher,Es ist an der Zeit,https://www.youtube.com/watch?v=2YkNKh6XqhE,cover_hannes_bleibt.gif,DE,Germany,"Truth to Power, Live",,0,1,3,0,0,0,1,,
