Title,Artist,Album,Year,Genre,URL,MV,Duration,Country,CountryName,Tags,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric,Views
Borderlands,Tim Hecker,An Imaginary Country,2009,Ambient,https://www.youtube.com/watch?v=LIJEmC91inA,False,4:47,CA,Canada,Instrumental,4,0,0,2,0,4,0,,,800447
Sextape,Deftones,Diamond Eyes,2010,Dream Pop,https://www.youtube.com/watch?v=f0pdwd0miqs,True,4:4,US,USA,❤️ Music Video,0,0,2,0,0,4,3,"Contender for most sensual song. This, together with half of FKA Twigs’s discography.",,55782368
"Together forever, my lovely video game cartridges",Camellia,Heart of Android,2018,Electrohouse,https://www.youtube.com/watch?v=9xeZRQDKmLE,False,5:26,JP,Japan,🏆 Happiest Song,0,0,6,0,3,0,0,,,481000
Like I Used To,Sharon Van Etten & Angel Olsen ,Like I Used To (Single),2021,Heartland Rock,https://www.youtube.com/watch?v=5ibj87fwRaM,True,4:24,US,USA,,2,0,0,0,0,1,4,,,2505640
Dead Loons,Panopticon,...And Again Into the Light,2021,Atmospheric Black Metal,https://www.youtube.com/watch?v=3SGscxQfmc4,False,11:27,US,USA,,3,3,0,2,0,0,3,,,57374
Shelter from the Storm,Bob Dylan,Blood on the Tracks,1975,Singer-Songwriter,https://www.youtube.com/watch?v=IzaXlq1Pdmk,False,5:1,US,USA,,3,0,2,0,0,0,0,,,3913416
when you sleep,My Bloody Valentine,Loveless,1991,Shoegaze,https://www.youtube.com/watch?v=BJLcbj80Ka8,True,4:29,IE,Ireland,,2,0,2,0,0,5,0,,,1453084
Sinnerman,Nina Simone,Pastel Blues,1965,Rhythm & Blues,https://www.youtube.com/watch?v=QH3Fx41Jpl4,False,10:20,US,USA,,0,3,0,2,0,0,4,,,41254698
Alright,Kendrick Lamar,To Pimp a Butterfly,2015,West Coast Hip Hop,https://www.youtube.com/watch?v=Z-48u_uWMHY,True,6:55,US,USA,,0,2,3,1,1,0,2,,,191260997
Alicia,Lorien Testard,Clair Obscur: Expedition 33 ,2025,Classical Crossover,https://www.youtube.com/watch?v=yakOBIoyoik,False,2:50,FR,France,Soundtrack,4,0,0,1,0,1,3,,,5301848
